학생번호,학생이름,민증뒷자리,연락처
1,김희재,1065487,010-1474-4875
2,민유리,2065478,010-4567-1485
3,김기정,1659874,010-1654-7845
4,박동현,1847584,010-7845-9415
5,유가현,2154874,010-9857-0145
6,장우명,3569847,010-7784-1154
7,김나연,4157484,010-3325-1125
8,장다현,4578451,010-9987-4451
9,최준혁,1754815,010-9884-7554
10,최민우,1956877,010-4885-6887
11,이나래,2987548,010-1879-6445
12,이미나,2784578,010-9485-3115
13,이지환,1045874,010-5698-1657
14,이현동,1014578,010-9147-3158
15,김대환,1987548,010-9785-1154
16,김중현,1654987,010-4875-1148
17,김재길,1356987,010-9748-5548
18,정형민,1457847,010-4487-1154
19,정재동,1365487,010-3325-6658
20,한지현,2147023,010-9539-3663
21,조수빈,2976651,010-2520-6309
22,장은호,1877021,010-4293-3963
23,조동현,1477541,010-2749-5986
24,조지호,1599684,010-6168-2740
25,최지현,2285724,010-5588-8955
26,한태연,2278763,010-6647-8193
27,이태현,4861174,010-6964-5545
28,장태희,4134973,010-3828-4856
29,김동현,1204543,010-6595-8983
30,조태연,2673953,010-7263-3118
31,유하준,1423623,010-3933-9801
32,유상현,1068081,010-4107-8854
33,박지호,1084962,010-4760-2146
34,조동현,1778012,010-8977-8812
35,장동현,1844812,010-6494-3937
36,조상현,1001733,010-3108-3973
37,한지호,1321694,010-2244-2063
38,이서연,2577401,010-6947-3682
39,이지현,2318724,010-9139-5310
40,박지윤,2276724,010-9096-1569
41,장하준,1319691,010-9898-3904
42,박다인,2133372,010-4457-8204
43,장재우,1844643,010-8279-7700
44,최지호,1517572,010-8769-3542
45,이서연,4543932,010-3880-2257
46,최상현,1742571,010-1355-5627
47,한서희,4938221,010-4814-3478
48,한서연,1134853,010-8165-5740
49,최민지,2135611,010-8233-8558
50,장동현,1940164,010-7705-5117
51,박태연,2606891,010-3731-4009
52,박민지,2070961,010-2325-7616
53,박하준,1906872,010-7688-1307
54,박재영,1927754,010-1774-1218
55,임수빈,1332852,010-5312-8142
56,조지호,1203742,010-2526-7344
57,장서안,2270591,010-2461-4507
58,한지현,1900461,010-1939-1299
59,유상현,1797424,010-6833-5579
60,임미리,2038152,010-9798-8049
61,최동현,1251812,010-5339-8744
62,최태연,1349343,010-6090-9148
63,최수빈,1801312,010-2766-9068
64,이은호,1949853,010-6047-1309
65,최재영,1437343,010-6542-8929
66,박민지,2146284,010-7363-4338
67,장지윤,1151682,010-1638-6775
68,김수빈,1283553,010-4588-4406
69,김지호,1891624,010-5805-8335
70,박다인,2173211,010-2912-5471
71,임민지,2455572,010-6183-6004
72,이지호,1935744,010-3352-7177
73,박지윤,2918034,010-5357-7937
74,김지현,1470844,010-2305-5544
75,정지호,1247411,010-7431-1588
76,박동현,1761862,010-3262-6181
77,박지현,2793741,010-8840-6511
78,최지현,2375822,010-8894-8925
79,한지현,1303554,010-4735-2767
80,최동현,1977902,010-9616-2329
81,김지호,1534981,010-2014-1836
82,이수빈,2375321,010-6267-9578
83,김지현,1447523,010-8084-3744
84,이은호,1894272,010-2390-4728
85,김재우,1920101,010-7905-6961
86,임하준,1168991,010-3751-2738
87,유민지,2621074,010-8422-8405
88,유상현,1687683,010-2370-9192
89,김민지,2871283,010-4486-9682
90,박민지,2832852,010-8158-9130
91,장민지,2192403,010-7810-3806
92,이재영,1099553,010-5983-1876
93,정하준,1020321,010-7815-3243
94,유수빈,1395604,010-3187-9913
95,김태연,2337713,010-7548-9001
96,이태연,2154789,010-4841-8593
97,김태연,2987541,010-3740-4300
98,장다인,2487547,010-3253-1511
99,이지현,2987548,010-1479-9817
100,최재영,1587489,010-3363-8475
